Empire,City,Pop,Tax,Prosperity_Regional,Prosperity_National,Road_Level,Terrain,Literacy,War_Population,Trade,Capital,Special_Mod,Healthcare_Spending,Pop_Tax,Pop_Growth_Mod,Colonial_Boost,Resource_Income,Resource_Boost,Tax_Base_Industry,Special_Economic_Notes,Net_Prosperity,Net_Income,Resources_Notes
Calimshan,Harad,1628259.00,0.05,0.00,0.00,0.05,-0.10,0.01,,0.00,,,0.00,,,,,0.00,300.00,"medium medieval industry, trade 1",0.06,25913741.99,
Calimshan,Umbar,3221326.00,0.05,0.00,0.00,0.00,0.15,0.01,,0.10,0.10,,0.00,,,,,0.00,350.00,"Nat capital, high medieval industry, trade 3, ",0.21,68267951.26,
Calimshan,Peleveran,111887.00,0.05,0.00,0.00,0.05,0.15,0.01,,0.00,,,0.00,-0.05,-0.20,,500000.00,0.05,200.00,"low medieval industry, trade 1, all Loxo pop",0.01,1131177.57,large coal
Castle Perilous,Castle Perilous,845938.00,0.01,0.00,0.00,0.00,0.15,0.01,,0.00,0.10,,0.00,-0.10,5.00,,,0.00,200.00,"Nat capital, low medieval industry, trade 1, all orcish pops",0.01,1710486.64,
Castle Perilous,Obscurum,168387.00,0.01,0.00,0.00,0.00,0.15,0.01,,0.00,,,0.00,-0.10,5.00,,,0.00,200.00,"low medieval industry, trade 1, all orcish pops",-0.09,306801.11,
Cecilia,Cecilia,80980.00,0.10,-0.05,-0.05,0.05,0.00,0.01,,,0.10,,0.00,,,,,0.00,200.00,"nat capital, low medieval, trade 1",0.06,1708678.00,
Cecilia,Tobacco,30308.00,0.10,-0.05,-0.05,0.05,0.05,0.01,,,,,0.00,,,,,0.00,200.00,"low medieval, trade 1",-0.05,578882.80,
Cecilia,Smoke,40329.00,0.10,-0.05,-0.05,0.05,0.00,0.01,,,,,0.00,,,,,0.00,200.00,"low medieval, trade 2",-0.05,770283.90,
Cecilia,Get,25205.00,0.10,-0.05,-0.05,0.05,0.00,0.01,,,,,0.00,,,,,0.00,200.00,"low medieval, trade 3",-0.05,481415.50,
Cecilia,Out,10084.00,0.10,-0.05,-0.05,0.05,0.00,0.01,,,,,0.00,,,,,0.00,200.00,"low medieval, trade 4",-0.05,192604.40,
Cecilia,Ofmy,10084.00,0.10,-0.05,-0.05,0.05,0.00,0.01,,,,,0.00,,,,,0.00,200.00,"low medieval, trade 5",-0.05,192604.40,
Cecilia,Head,5040.00,0.10,-0.05,-0.05,0.05,0.00,0.01,,,,,0.00,,,,,0.00,200.00,"low medieval, trade 6",-0.05,96264.00,
Chiefdom of Urgblog,Urgby,613554.00,0.10,0.00,0.00,0.05,0.15,0.01,,0.05,0.10,,0.00,0.05,-0.10,,,0.00,300.00,"nat capital, medium medieval industry, trade 2, all orog pop",0.26,23192341.20,
Chiefdom of Urgblog,Glona,101650.00,0.10,0.00,0.00,0.05,0.15,0.01,,,,,0.00,0.05,-0.10,,,0.00,200.00,"low medieval industry, trade 1, all orog pop",0.11,2256630.00,
Chiefdom of Urgblog,Zhark,203300.00,0.10,0.00,0.00,0.05,0.15,0.01,,,,,0.00,0.05,-0.10,,,0.00,200.00,"low medieval industry, trade 1, all orog pop",0.11,4513260.00,
Chiefdom of Urgblog,Gahross,50826.00,0.10,0.00,0.00,0.05,0.15,0.01,,,,,0.00,0.05,-0.10,,,0.00,200.00,"low medieval industry, trade 1, all orog pop",0.11,1128337.20,
Darchar,Okarthel,1038583.00,0.10,0.15,0.10,0.10,0.15,0.01,,0.10,0.10,,0.00,0.20,-0.40,,,0.00,350.00,"nat capital, high medieval, trade 3, bluespawn",0.76,63976712.80,
Darchar,Zlaham,519291.00,0.10,0.15,0.10,0.10,0.15,0.01,,0.00,,,0.00,,,,,0.00,200.00,"low medieval industry, trade 1, all greenspawn",0.36,14124715.20,
Darchar,Eimgan,207717.00,0.10,0.15,0.10,0.10,0.15,0.01,,0.00,,,0.00,,,,,0.00,200.00,"low medieval industry, trade 1, all greenspawn",0.36,5649902.40,
Darchar,Vrogas,309262.00,0.10,0.15,0.10,0.10,0.10,0.01,,0.00,,,0.00,0.10,-0.20,,,0.00,200.00,"low medieval industry, trade 1, all redspawn",0.46,9030450.40,
Darchar,Kurg,213152.00,0.10,0.15,0.10,0.10,0.10,0.01,,0.00,,,0.00,0.10,-0.20,,8800000.00,0.88,200.00,"low medieval industry, trade 1, all redspawn",0.46,6224038.40,"large beskar, gems"
Darchar,Plestead,102576.00,0.10,0.15,0.10,0.10,0.10,0.01,,0.00,,,0.00,0.20,-0.40,,,0.00,200.00,"low medieval industry, trade 1, bluespawn",0.56,3200371.20,
Darchar,Strapus,308801.00,0.10,0.15,0.10,0.10,0.10,0.01,,0.05,,,0.00,0.20,-0.40,,200000.00,0.02,200.00,"low medieval industry, trade 2, bluespawn",0.61,9943392.20,large copper
Darchar,Sranta,102576.00,0.10,0.15,0.10,0.10,0.10,0.01,,0.00,,,0.00,0.20,-0.40,,,0.00,200.00,"low medieval industry, trade 1, bluespawn",0.56,3200371.20,
Darchar,Qrens,572638.00,0.10,0.05,0.10,0.10,0.05,0.01,,0.10,,,0.00,-0.15,0.30,,,0.00,300.00,"medium medieval industry, trade 3, kobold",0.21,20786759.40,
Darchar,Trinas,837069.00,0.10,0.05,0.10,0.10,0.15,0.01,,0.10,,,0.00,-0.15,0.30,,,0.00,300.00,"medium medieval industry, trade 3, kobold",0.21,30385604.70,
Darchar,Gremouth,206687.00,0.10,0.05,0.10,0.10,0.15,0.01,,0.00,,,0.00,,,,,0.00,200.00,"low medieval industry, trade 1, greenspawn",0.26,5208512.40,
Darchar,Arcgend,516720.00,0.10,0.05,0.10,0.10,0.15,0.01,,0.00,,,0.00,,,,,0.00,300.00,"medium medieval, trade 2, all greenspawn",0.26,19532016.00,
Darchar,Duby,206687.00,0.10,0.05,0.10,0.10,0.15,0.01,,0.00,,,0.00,,,,,0.00,200.00,"low medieval, trade 1, all greenspawn",0.26,5208512.40,
Darchar,Troit,937046.00,0.10,0.05,0.10,0.10,0.15,0.01,,0.10,0.05,,0.00,,,,,0.00,300.00,"medium medieval, trade 3, all greenspawn",0.41,39637045.80,
Darchar,Troria,310031.00,0.10,0.05,0.10,0.10,0.15,0.01,,0.00,,,0.00,,,,,0.00,200.00,"low medieval, trade 1, all greenspawn",0.26,7812781.20,
Darchar,Drona,155016.00,0.10,0.05,0.10,0.10,0.15,0.01,,0.00,,,0.00,,,,,0.00,200.00,"low medieval, trade 1, all greenspawn",0.26,3906403.20,
Dragon Slayer Coalition,Iriaebor,3135883.00,0.10,0.05,0.05,0.10,0.15,0.01,,0.05,0.10,,0.00,,,,2000000.00,0.20,350.00,"nat capital, high medieval industry, trade 2",0.36,149268030.80,"large iron, black opal"
Dragon Slayer Coalition,Berdusk,1055778.00,0.10,0.05,0.05,0.10,0.00,0.01,,0.05,,,0.00,,,,8900000.00,0.89,300.00,"medium medieval industry, trade 2",0.26,39908408.40,"large beskar, low mithril"
Dragon Slayer Coalition,Zhentil Fortress,102321.00,0.10,0.05,0.05,0.10,0.00,0.01,,,,,0.00,,,,,0.00,200.00,"low medieval industry, trade 1",0.21,2476168.20,
Dragon Slayer Coalition,Helmsport,359016.00,0.10,0.05,0.05,0.10,0.05,0.01,,,,,0.00,,,,,0.00,200.00,"low medieval industry, trade 1",0.21,8688187.20,
Dragon Slayer Coalition,Patayang,102321.00,0.10,0.05,0.05,0.10,0.00,0.01,,,,,0.00,,,,,0.00,200.00,"low medieval industry, trade 1",0.21,2476168.20,
Dragon Slayer Coalition,Svardborg,103335.00,0.10,0.05,0.05,0.10,0.00,0.01,,,,,0.00,,,,,0.00,200.00,"low medieval industry, trade 1",0.21,2500707.00,
Duistern,Duistern,315785.00,0.10,0.15,0.15,0.00,0.20,0.05,,0.00,0.10,0.15,0.00,0.08,-0.10,,,0.00,300.00,"nat capital, medium medieval industry, trade 1, all star elf pop, Cities of Light Portal Network",0.68,15925037.55,
Duistern,Helder,52060.00,0.10,0.15,0.15,0.00,0.20,0.05,,0.00,,0.15,0.00,0.08,-0.10,,,0.00,200.00,"low medieval industry, trade 1, all star elves, Cities of Light Portal Network",0.58,1646137.20,
Duistern,Oxstar,10187.00,0.10,0.15,0.15,0.00,0.20,0.05,,0.00,,0.15,0.00,0.08,-0.10,,,0.00,200.00,"low medieval industry, trade 1, all star elves, Cities of Light Portal Network",0.58,322112.94,
Duistern,Raito,52371.00,0.10,0.15,0.15,0.00,0.20,0.05,,0.00,,0.15,0.00,0.08,-0.10,,,0.00,200.00,"low medieval industry, trade 1, all star elves, Cities of Light Portal Network",0.58,1655971.02,
Free Cities League,Yorknew City,12963192.00,0.30,0.25,0.00,0.20,0.15,0.08,,0.15,0.10,0.05,0.20,,,,,0.00,650.00,"Nat Capital, high modern industry, trade 4",0.83,4613275953.00,
Free Cities League,Chicago,7581147.00,0.30,0.25,0.00,0.20,0.15,0.08,,0.10,,,0.20,,,,,0.00,650.00,"High modern industry, trade 3",0.63,2402275955.63,
Free Cities League,Corning,629798.00,0.30,0.25,0.00,0.20,0.15,0.08,,0.05,,,0.20,,,,,0.00,500.00,"low modern industry, trade 2",0.58,148789777.50,
Free Cities League,Troy,1279675.00,0.30,0.25,0.00,0.20,0.10,0.08,,0.05,,,0.20,,,,,0.00,600.00,"medium modern industry, trade 2",0.58,362787862.50,
Free Cities League,Ithaca,409296.00,0.30,0.25,0.00,0.20,0.10,0.08,,0.00,,,0.20,,,,,0.00,500.00,"low modern industry, trade 1",0.53,93626460.00,
Free Cities League,Lewiston,204688.00,0.30,0.25,0.00,0.20,0.00,0.08,,0.00,,,0.20,,,,1200000.00,0.12,500.00,"low modern industry, trade 1",0.53,46822380.00,"huge tunsgten (1920), large aluminum (1920)"
Free Cities League,Albany,1770804.00,0.30,0.25,0.00,0.20,0.10,0.08,,0.00,,,0.20,,,,2500000.00,0.25,500.00,"low modern industry, trade 1",0.53,405071415.00,large platinum (1920)
Free Cities League,Binghamton,272163.00,0.30,0.25,0.00,0.00,0.05,0.08,,0.05,,,0.20,,,,,0.00,500.00,"low modern industry, trade 2",0.38,56133618.75,
Free Cities League,Augusta,3643478.00,0.30,0.05,0.00,0.20,-0.10,0.08,,0.05,,,0.20,,,,3300000.00,0.33,600.00,"medium modern industry, trade 2",0.38,901760805.00,"large gems (1900), oil (1900)"
Free Cities League,July,4670650.00,0.30,0.05,0.00,0.20,-0.10,0.08,,0.05,0.05,,0.20,,,,1150000.00,0.12,600.00,"reg capital, medium modern industry, trade 2",0.43,1198021725.00,"moderate copper (1900), oil (1900)"
Free Cities League,October,211965.00,0.30,0.05,0.00,,0.05,0.08,,0.05,,,0.20,,,,,0.00,500.00,"low modern industry, trade 2",0.18,37358831.25,
Free Cities League,Alabasta,2342192.00,0.30,0.05,0.00,0.20,-0.10,0.08,,0.05,,,0.20,,,,2250000.00,0.23,600.00,"medium modern industry, trade 2",0.38,579692520.00,"large iron (1900), tungsten (1900), moderate oil (1900)"
Free Cities League,Buffalo,487065.00,0.30,0.05,0.00,0.20,-0.10,0.08,,0.00,,,0.20,,,,,0.00,500.00,"low modern industry, trade 1",0.33,96804168.75,
Free Cities League,Mos Eisley,152961.00,0.30,0.05,0.00,0.20,-0.10,0.08,,0.05,,,0.20,,,,,0.00,500.00,"low modern industry, trade 2",0.38,31548206.25,
Free Cities League,New Yorknew (CAP 500k),101081.00,0.30,-0.10,0.00,0.10,0.05,0.08,,0.05,,,0.20,,,17.50,,0.00,500.00,"low modern industry, trade 2",0.13,17057418.75,
Free Cities League,New Chicago,31419.00,0.30,-0.10,0.00,0.05,-0.05,0.08,,0.00,,,0.20,,,17.50,,0.00,500.00,"low modern industry, trade 1",0.03,4830671.25,
Free Cities League,Baltimore,1000.00,0.30,-0.10,0.00,0.05,-0.05,0.08,,0.00,,,0.20,,,17.50,,0.00,500.00,"low modern industry, trade 2",0.03,153750.00,
Free Cities League,Troy,1000.00,0.30,-0.10,0.00,0.05,-0.05,0.08,,0.00,,,0.20,,,17.50,,0.00,500.00,"low modern industry, trade 3",0.03,153750.00,
Free Cities League,Cleveland,1000.00,0.30,-0.10,0.00,0.05,0.10,0.08,,0.00,,,0.20,,,17.50,,0.00,500.00,"low modern industry, trade 4",0.03,153750.00,
Free Cities League,Nimrodel,406883.00,0.30,-0.10,0.00,0.05,0.15,0.08,,0.00,,,0.20,0.05,-0.10,,,0.00,500.00,"low modern industry, trade 1, all elven pop",0.08,65609883.75,
Free Cities League,Sirion,101721.00,0.30,-0.10,0.00,0.05,0.15,0.08,,0.00,,,0.20,0.05,-0.10,,,0.00,500.00,"low modern industry, trade 1, all elven pop",0.08,16402511.25,
Free Cities League,Syracuse,635988.00,0.30,-0.15,0.00,,0.05,0.08,,0.05,0.05,,0.20,0.05,-0.10,,,0.00,500.00,"reg capital, low modern industry, trade 2, large elf pop",0.08,102553065.00,
Free Cities League,Auburn,1226599.00,0.30,-0.15,0.00,0.15,0.10,0.08,,0.00,,,0.20,0.05,-0.10,,,0.00,500.00,"low modern industry, trade 1, large elf pop",0.13,206988581.25,
Free Cities League,Utica,1168890.00,0.30,-0.15,0.00,0.15,0.05,0.08,,0.00,,,0.20,0.05,-0.10,,,0.00,600.00,"medium modern industry, trade 1, large elf pop",0.13,236700225.00,
Free Cities League,Galdor,5682011.00,0.30,-0.15,0.00,0.15,0.15,0.02,,0.00,,,0.20,0.05,-0.10,,,0.00,650.00,"high modern industry, trade 1, all elven pop",0.07,1180011634.43,
Free Cities League,Falas,285672.00,0.30,-0.15,0.00,0.15,0.00,0.02,,0.05,,,0.20,0.05,-0.10,,,0.00,500.00,"low modern industry, trade 2, all elven pop",0.12,47778642.00,
Free Cities League,Hithlum,2279565.00,0.30,-0.15,0.00,0.15,0.00,0.02,,0.05,,0.10,0.20,0.05,-0.10,,,0.00,600.00,"medium modern industry, trade 2, all elven pop, unique spices",0.22,498540865.50,
Free Cities League,Lomin,3481013.00,0.30,-0.15,0.00,0.15,0.00,0.02,,0.05,,,0.20,0.05,-0.10,,,0.00,200.00,"low medieval industry, trade 2, all elven pop",0.12,232879769.70,
Free Cities League,Nan-Tathren,1153553.00,0.30,-0.15,0.00,0.15,-0.10,0.02,,0.00,,,0.20,,,,,0.00,200.00,"low medieval industry, trade 1",0.02,70251377.70,
Free Cities League,Balar,202532.00,0.30,-0.15,0.00,,0.00,0.02,,0.05,,,0.20,0.05,-0.10,,,0.00,200.00,"low medieval industry, trade 2, all elven pop",-0.04,11726602.80,
Free Cities League,Lammoth,5829471.00,0.30,-0.15,0.00,0.15,0.00,0.02,,0.00,,,0.20,0.05,-0.10,,250000.00,0.03,300.00,"medium medieval industry, trade 1, all elven pop",0.07,558754795.35,moderate iron (1920)
Free Cities League,Beacon,3483504.00,0.30,-0.15,0.00,0.15,0.05,0.08,,0.05,,0.10,0.20,0.05,-0.10,,,0.00,300.00,"medium medieval industry, trade 2, large elf Pop, unique spices",0.28,399732084.00,
Free People of Zahard,Zahard City,10401.00,0.05,0.00,0.00,0.00,-0.15,0.03,,0.00,0.10,,2.00,,,,5250000.00,0.53,500.00,"nat capital, low modern industry, trade 1, ",0.13,293828.25,"huge sakuradite, anti-magicite, large gold, adamantium"
Gracklstun Kingdom,Dolblunde,836226.00,0.10,0.05,0.00,0.05,0.15,0.01,,0.05,0.10,,0.00,-0.05,0.10,,4800000.00,0.48,300.00,"nat capital, medium medieval, trade 2, all deep gnomes",0.21,30355003.80,"large coal, gems, low mithril"
Gracklstun Kingdom,Blingdenstone,312627.00,0.10,0.05,0.00,0.05,0.15,0.01,,,,,0.00,-0.05,0.10,,1700000.00,0.17,200.00,"low medieval industry, trade 1, all deep gnomes",0.06,6627692.40,"large aluminum, copper, small adamantium"
Gracklstun Kingdom,Fracnard,133534.00,0.10,0.05,0.00,0.05,0.15,0.01,,,,,0.00,-0.05,0.10,,1700000.00,0.17,200.00,"low medieval industry, trade 1, all deep gnomes",0.06,2830920.80,"large iron, copper, small platinum"
Gracklstun Kingdom,Wrolsey,81491.00,0.10,-0.05,0.00,0.05,0.00,0.01,,,,,0.00,-0.05,0.10,,,0.00,200.00,"low medieval industry, trade 1, all deep gnomes",-0.04,1564627.20,
Gracklstun Kingdom,Wrosa,151868.00,0.10,-0.05,0.00,0.05,0.00,0.01,,,,,0.00,-0.05,0.10,,,0.00,200.00,"low medieval industry, trade 1, all deep gnomes",-0.04,2915865.60,
Gracklstun Kingdom,Rebus,306200.00,0.10,-0.05,0.00,0.05,0.00,0.01,,0.05,0.05,,0.00,-0.05,0.10,,,0.00,200.00,"reg capital, low medieval, trade 1, all deep gnome",0.06,6491440.00,
High Empire of Laputarches,Laputa (5m cap) (2m city x2),1293819.00,0.05,0.25,0.15,,0.40,0.10,,0.00,0.10,0.38,2.20,0.20,,,,0.00,650.00,"Nat Capital, High modern industry, trade 1, Hyper-Extreme Technology, Aerial Transportation, City of Dragons (3%), Magical Machinery (Coming?), Portal Nexus (Coming), University of Laputa x2 (Coming), Insect Slave Labor (Coming)",1.18,91667076.15,
High Empire of Laputarches,Aerestar (100k Cap),11025.00,0.05,0.25,0.15,,0.40,0.10,,0.00,,0.20,2.20,0.20,,,,0.00,500.00,"low modern industry, trade 1, aerial transportation",0.90,523687.50,
High Empire of Laputarches,Volaris (100k cap),10500.00,0.05,0.25,0.15,,0.40,0.10,,0.00,,0.20,2.20,0.20,,,,0.00,500.00,"low modern industry, trade 1, aerial transportation",0.90,498750.00,
High Empire of Laputarches,Das Vatican (100k cap),10000.00,0.05,0.25,0.15,,0.40,0.10,,0.00,,0.20,2.20,0.20,,,,0.00,500.00,"low modern industry, trade 1, aerial transportation",0.90,475000.00,
High Empire of Laputarches,Tempestus (2m cap),1000.00,0.05,0.25,0.15,,0.40,0.10,,0.00,,0.20,2.20,0.20,,15.00,,0.00,500.00,"low modern industry, trade 1, aerial transportation",0.90,47500.00,
High Empire of Laputarches,Mistral (2m cap),1200.00,0.05,0.25,0.15,,0.40,0.10,,0.00,,0.20,2.20,0.20,,15.00,,0.00,500.00,"low modern industry, trade 1, aerial transportation",0.90,57000.00,
High Empire of Laputarches,Azuros (2m Cap),1440.00,0.05,0.25,0.15,,0.40,0.10,,0.00,,0.20,2.20,0.20,,15.00,,0.00,500.00,"low modern industry, trade 1, aerial transportation",0.90,68400.00,
High Empire of Laputarches,Vinbuhr,1178.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,900000.00,0.90,500.00,"low modern industry, trade 1, all dwarven",0.54,90470.40,"large iron (1925), copper (1925), aluminum (1925)"
High Empire of Laputarches,Thongrun,1236.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,6750000.00,6.75,500.00,"low modern industry, trade 1, all dwarven",0.54,94924.80,large seastone (1925) moderate biest stone (1925)
High Empire of Laputarches,Daldorth,1219.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,5000000.00,5.00,500.00,"low modern industry, trade 1, all dwarven",0.54,93619.20,"large black opal (1925), jacinth (1925), black sapphire (1925)"
High Empire of Laputarches,Kerlodir,1189.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,2000000.00,2.00,500.00,"low modern industry, trade 1, all dwarven",0.54,91315.20,"moderate anti-magicite (1925), platinum (1925), tungsten (1925)"
High Empire of Laputarches,Tirol,1000.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,850000.00,0.85,500.00,"low modern industry, trade 1, all dwarven",0.54,76800.00,INFINITE HUGE SILVER
High Empire of Laputarches,Girarum,1209.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,4000000.00,4.00,500.00,"low modern industry, trade 1, all dwarven",0.54,92851.20,"huge sakuradite, large oil (1925), damestear (1925)"
High Empire of Laputarches,Himduar,1169.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,,0.00,500.00,"low modern industry, trade 1, all dwarven",0.54,89779.20,"huge beskar (1925), moderate mithril (1925), "
High Empire of Laputarches,Herthiad,1194.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,2500000.00,2.50,500.00,"low modern industry, trade 1, all dwarven",0.54,91699.20,"large shou lung (1925), gold (1925)"
High Empire of Laputarches,Hankahldur,1169.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,,0.00,500.00,"low modern industry, trade 1, all dwarven",0.54,89779.20,huge mithril (1925)
High Empire of Laputarches,Giledur,1169.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,,0.00,500.00,"low modern industry, trade 1, all dwarven",0.54,89779.20,dracostone source (1925)
High Empire of Laputarches,Vilboldir,1169.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,,0.00,500.00,"low modern industry, trade 1, all dwarven",0.54,89779.20,"moderate beskar (1925), mithril (1925)"
High Empire of Laputarches,Dhighgon,1186.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,1750000.00,1.75,500.00,"low modern industry, trade 1, all dwarven",0.54,91084.80,"moderate coal (1925), damestear (1925)"
High Empire of Laputarches,Elysia,1175.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,600000.00,0.60,500.00,"low modern industry, trade 1, all dwarven",0.54,90240.00,"Wachstum Source (1925), large silver (1925)"
High Empire of Laputarches,Sanrilla,1194.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,2500000.00,2.50,500.00,"low modern industry, trade 1, all dwarven",0.54,91699.20,"large oil, Low adamantium (1925)"
High Empire of Laputarches,Velaria,1171.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,200000.00,0.20,500.00,"low modern industry, trade 1, all dwarven",0.54,89932.80,"large copper (1925), Blacksteel/aetherium (1925)"
High Empire of Laputarches,Kharndorth,1187.00,0.10,0.10,0.15,0.15,-0.15,0.04,,0.00,,,0.20,0.10,-0.20,15.00,1800000.00,1.80,500.00,"low modern industry, trade 1, all dwarven",0.54,91161.60,"large gems (1925), sakuradite (1925)"
High Empire of Laputarches,Erebor,32928636.00,0.10,0.25,0.15,0.20,0.15,0.04,,0.15,0.05,0.10,0.20,0.10,-0.20,,30600000.00,3.06,700.00,"Reg Capital, high very modern industry, trade 4, all dwarven pop, Greatest City of Dwarves",1.04,4692989202.72,"huge mithril (1925), gold (1925), silver (1925), large gems (1925), iron (1925), copper (1925), tungsten (1925), aetherium (1925), blacksteel (1925), moderate sakuradite low beskar (1925),"
High Empire of Laputarches,Laketown,1632597.00,0.10,0.25,0.15,0.20,0.10,0.04,,0.10,,,0.20,,,,1500000.00,0.15,600.00,"medium modern industry, trade 3, ",0.74,170051303.52,large oil (1925)
High Empire of Laputarches,Dale,5524582.00,0.10,0.25,0.15,0.20,0.10,0.04,,0.10,,,0.20,,,,,0.00,600.00,"medium modern industry, trade 3, ",0.74,575440461.12,
High Empire of Laputarches,Mont Ferrum,128081.00,0.10,0.25,0.15,0.15,0.15,0.04,,0.00,,,0.20,0.10,-0.20,,2300000.00,0.23,300.00,"medium medieval industry, trade 1, all dwarven pop",0.69,6478336.98,"large iron, gems"
High Empire of Laputarches,Vale,106257.00,0.10,0.25,0.15,0.15,0.15,0.04,,0.00,,,0.20,0.10,-0.20,,16350000.00,1.64,200.00,"low medieval industry, trade 1, all dwarven pop",0.69,3582986.04,"large mithril, jacinth, moderate silver"
High Empire of Laputarches,Bierg,510237.00,0.10,0.25,0.15,0.15,0.15,0.04,,0.00,,,0.20,0.10,-0.20,,11500000.00,1.15,500.00,"low modern industry, trade 1, all dwarven pop",0.69,43012979.10,"large gold (1925), low beskar (1925), mithril (1925)"
High Empire of Laputarches,Moria,23053116.00,0.10,0.25,0.15,0.20,0.15,0.04,,0.15,0.05,,0.20,0.10,-0.20,,30250000.00,3.03,700.00,"Reg Capital, very high modern industry, trade 4, all dwarven pop",0.94,3124158280.32,"huge mithril (1925), gold (1925), silver (1925), iron (1925), moderate tungsten (1925), aluminum (1925), black sapphire (1925) low beskar (1925)"
High Empire of Laputarches,Kazar Ankor,1047659.00,0.10,0.25,0.15,0.20,0.15,0.04,,0.00,,,0.20,0.10,-0.20,,3750000.00,0.38,500.00,"low modern industry, trade 1, all dwarven pop",0.74,90936801.20,"huge coal (1925), platinum (1925)"
High Empire of Laputarches,Gundabad,5895214.00,0.10,0.25,0.15,0.10,0.15,0.04,,0.05,,,0.20,0.10,-0.20,,10300000.00,1.03,650.00,"high modern industry, trade 2, all dwarven pop",0.69,646056502.26,"large gems (1925), jacinths (1925), damestear (1925) moderate iron (1925), copper (1925), low shou lung (1925), black opal (1925)"
High Empire of Laputarches,King's Hall,368437.00,0.10,0.15,0.15,0.10,0.15,0.04,,0.05,,,0.20,0.05,-0.10,,,0.00,300.00,"medium medieval industry, trade 2, all elven pop",0.54,16977576.96,
High Empire of Laputarches,Myth Silva,73505.00,0.10,0.15,0.15,0.10,0.15,0.04,,0.00,,,0.20,0.05,-0.10,,,0.00,200.00,"low medieval industry, trade 1, all elven pop",0.49,2184568.60,
High Empire of Laputarches,Caras Galadhon,147374.00,0.10,0.15,0.15,0.10,0.15,0.04,,0.00,0.05,,0.20,0.05,-0.10,,,0.00,200.00,"reg capital, low medieval industry, trade 1, all elven pop",0.54,4527329.28,
High Empire of Laputarches,Myth Endorium,15712.00,0.10,0.15,0.15,0.10,0.10,0.04,,0.00,,,0.20,0.05,-0.10,,,0.00,200.00,"low medieval industry, trade 1, all elven pop",0.49,466960.64,
High Empire of Laputarches,Rhun,3376907.00,0.10,0.10,0.15,0.10,0.15,0.04,,0.05,0.05,,0.20,,,,,0.00,350.00,"Reg capital, high medieval industry, trade 2",0.49,175632933.07,
High Empire of Laputarches,Khun,525037.00,0.10,0.10,0.15,0.10,0.15,0.04,,0.00,,,0.20,,,,,0.00,200.00,"low medieval industry, trade 1",0.39,14554025.64,
High Empire of Laputarches,Thun,105007.00,0.10,0.10,0.15,0.10,0.15,0.04,,0.00,,,0.20,,,,,0.00,200.00,"low medieval industry, trade 1",0.39,2910794.04,
High Empire of Laputarches,Edoras,346181.00,0.10,0.15,0.15,0.10,0.10,0.04,,0.00,,,0.20,,,,,0.00,200.00,"low medieval industry, trade 1",0.44,9942318.32,
High Empire of Laputarches,Theodenville,31471.00,0.10,0.15,0.15,0.10,0.10,0.04,,0.00,,,0.20,,,,,0.00,200.00,"low medieval industry, trade 1",0.44,903847.12,
High Empire of Laputarches,Minas Tirith,3643320.00,0.10,0.15,0.15,0.10,0.00,0.04,,0.10,0.05,,0.20,,,,3600000.00,0.36,350.00,"reg capital, high medieval industry, trade 3",0.59,202240693.20,"Large gold, silver, iron"
High Empire of Laputarches,Osgiliath,4443164.00,0.10,0.15,0.15,0.10,0.15,0.04,,0.10,,,0.20,,,,,0.00,350.00,"high medieval industry, trade 3",0.54,238864496.64,
High Empire of Laputarches,Minas Morgul,125387.00,0.10,0.15,0.15,0.10,0.00,0.04,,0.00,,,0.20,,,,,0.00,200.00," low medieval industry, trade 1",0.44,3601114.64,
High Empire of Laputarches,Pelargir,3393644.00,0.10,0.15,0.15,0.10,0.15,0.04,,0.15,,,0.20,,,,,0.00,350.00,"high medieval industry, trade 4",0.59,188381178.44,
